# name	address (octal)	source (code: where the listing places it; table: the printed symbol table)	flags
# Derived from symelec-listing.txt by packages/cabinet/scripts/extract-symbols.mjs.
BEGRTP	00024	code+table	
BERTP1	00030	code+table	
LBD	00047	code+table	
AD	00123	code+table	
BD	00150	code+table	
FSTCLB	00176	code+table	
SNDCLB	00177	code+table	
TRDCLB	00200	code+table	
FOUCLB	00201	code+table	
FIFCLB	00202	code+table	
SIXCLB	00203	code+table	
SEVCLB	00204	code+table	
EIGCLB	00205	code+table	
CLBR	00206	code+table	
CLBC	00207	code+table	
CLBL	00210	code+table	
CLBS	00211	code+table	
CLBV	00212	code+table	
CLB1	00213	table	
CLBI	00213	code	
CLBU	00214	code+table	
CLB0	00215	table	
CLBO	00215	code	
RES0	00220	code+table	
CAP0	00236	code+table	
IND0	00252	code+table	
SWI0	00310	code+table	
VOL0	00321	code+table	
CUR0	00346	code+table	
NUL0	00405	code+table	
NOR0	00427	code+table	
SERSWI	00451	code+table	
FOBBL	00463	code+table	
FOCBL	00531	code+table	
FOBBL1	00542	code+table	
ATTPDA	00556	code+table	
SAVTE1	00604	code+table	
TAKE1	00621	code+table	
LB2	00643	code+table	
INTMO	00707	code+table	
SCAMO	00735	code+table	
CATMO	00760	code+table	
CATMO1	00761	code+table	
REDUC	00766	code+table	
ROTMO	00771	code+table	
PIXEX	00774	code+table	
DFCON	01027	code+table	
DPSIM	01046	code+table	
PAMODE	01066	code+table	
SBMODE	01073	code+table	
VEMODE	01117	code+table	
CHMODE	01133	code+table	
CALDEF	01145	code+table	
CELE	01155	code+table	
SHRINK	01216	code+table	
TURNVE	01232	code+table	
WAIT92	01272	code+table	
WAIT91	01316	code+table	
WAIT15	01337	code+table	
FOCBL1	01354	code+table	
FOCBL3	01373	code+table	
FOCBL4	01404	code+table	
FOCBL2	01422	code+table	
INEL	01436	code+table	
MOVCR	01454	code+table	
CONELE	01517	code+table	
SEGEY	01561	code+table	
CSEV	01620	code+table	
CEIG	01622	code+table	
CFST	01624	code+table	
CSMD	01626	table	
CSND	01626	code	
CTRD	01630	code+table	
CFIF	01632	code+table	
CSIX	01634	code+table	
CFOU	01636	code+table	
STXBMO	01640	code+table	
STYBMO	01641	code+table	
STSPST	01642	code+table	
LTPX	01701	code+table	
TX	01705	code+table	
TH	01706	code+table	
TS	01741	code+table	
SNDCH	01764	code+table	
FRSTCH	01771	code+table	
TZ	02016	code+table	
TV	02024	code+table	
PXOK	02037	code+table	
RELOC1	02043	code+table	
RELOC4	02044	code+table	
PXER1	02072	code+table	
RLCEND	02072	code+table	
PXER3	02073	code+table	
PXER2	02074	code+table	
PXID	02106	code+table	
RW	02107	code+table	
WAITLK	02125	code	
WAITLX	02125	table	
RW1	02126	code+table	
RW2	02133	code+table	
SETUP	02147	table	jms
SETUP1	02167	table	jms
ERR	02221	code+table	
OP	02232	code+table	
GIND	02241	table	
GBUG	02242	table	
GSTKP	02243	table	
