speaker	org	title	session	date	format	box
Aaron Marcus	Aaron Marcus and Associates	12 Myths of Mobile Device UIs	CS547 Winograd 6	2005-2-11	VHS	Box 10
Aaron Marcus	Aaron Marcus and Associates	Managing Metaphor in Advanced UIs	CS547 Winograd 7	1994-5-13	VHS	Box 2
Aaron Marcus	Aaron Marcus and Associates	Scenarios of Future User-Interface Design	CS547 Winograd 2	1999-10-1	VHS	Box 6
Aaron Marcus	Aaron Marcus and Associates	Vehicle User-Interface Design	CS547 Winograd 8	2002-11-15	VHS	Box 7
Abbe Don	Abbe Don Interactive	From Handmade Books to HTML and Beyond	CS547 Winograd 8	1999-11-12	VHS	Box 6
Adam Cheyer	SRI International	Tasking Communities of Agents Through Adaptable Multimodal Interfaces	CS547 Winograd 9	1999-5-28	VHS	Box 6
Adele Goldberg	Neometron	Learning Works	CS547 Winograd 7	1996-11-15	VHS	Box 3
Ahmad Mansur	Zeum	Interaction and Exhibit Design in Museums	CS547 Winograd 7	2005-5-6	VHS	Box 10
Alan Cooper	Cooper Interaction Design	The Inmates are Running the Asylum	CS547 Winograd 6	1998-2-13	VHS	Box 5
Alan Kay	Hewlett Packard Laboratories	Croquet: A Collaboration Architecture	CS547 Winograd 4	2003-04-25	VHS	Box 9
Alex Waibel	Interactive Systems Laboratories, Carnegie Mellon University, University of Karlsruhe	Speaking with your Voice, Pen, Eyes, Face, Hands, and Fingers	CS547 Winograd 1	1997-4-4	VHS	Box 4
Allan Kuchinsky	Hewlett Packard Laboratories	Consumer Multimedia Organization and Retrieval	CS547 Winograd 7	1999-2-19	VHS	Box 6
Allan Sheperd, Audrey Ishizaki	Hewlett Packard Laboratories	"Strudel, a Customizable ""Electronic Conversation Toolkit"""	CS547 Winograd 2	1992-10-7	VHS	Box 1
Alonso Vera, Roxana Wales	NASA Ames Research Center	Collaboration, Tool Use and Work Practice of Mars Mission Scientists	CS547 Winograd 6	2004-5-14	VHS	Box 2
Amy Bruckman	Georgia Tech	Open Research Questions about Virtual Communities	CS547 Winograd 10	1997-12-5	VHS	Box 4
Amy Jo Kim	SocialDesign.Net	The Network is the Game: Social Trends in Mobile Entertainment	CS547 Winograd 1	2004-10-1	VHS	Box 10
Anatol Holt	University of Milano	Primitive Man in the Electronic Work Environment	CS547 Winograd 8	1997-11-14	VHS	Box 4
Andrea Lunsford	Stanford Department of English	Collaboration as Theory and Practice	CS547 Winograd 6	2001-05-11	VHS	Box 7
Andreas Paepcke	Stanford Digital Library Project	Interacting with Information: Lessons from Stanford Digital Library Project	CS547 Winograd 5	1998-10-23	VHS	Box 5
Andy Hertzfeld	General Magic	Magic Cap and Telescript	n/a	1994-1-21	VHS	Box 2
Angel Puerta	Red Whale Software	Computer-Aided Design of User Interfaces	CS547 Winograd 4	1999-10-15	VHS	Box 6
Anind Dey	Intel Research UC Berkeley	Giving Users Control in Ubiquitous Computing Environments	CS547 Winograd 7	2004-5-21	VHS	Box 2
Ann Copestake, Greg Edwards, Elizabeth Macken, Neil Scott	Stanford Center for the Study of Language and Information	Using Computers to Aid Communication, A Case Study	CS547 Winograd 1	1996-4-5	VHS	Box 3
Ann McCormick	CAPS Mira Studio	Play and Learning with Technology, Realities of the Marketplace	CS547 Winograd 7	1996-5-24	VHS	Box 3
Anne Balsamo, Matt Gorbet, Scott Minneman, Steve Harrison	Xerox PARC	XFR: eXperiments in the Future of Reading	CS547 Winograd 9	2001-11-30	VHS	Box 11
Asaf Degani	NASA Ames Research Center	Taming HAL	CS547 Winograd 7	2005-2-18	VHS	Box 10
Austin Henderson, Jed Harris	Pliant Research	Negotiating Ontologies: Bridging the Gaps	CS547 Winograd 7	1997-5-16	VHS	Box 4
Barbara Hayes Roth	Stanford Knowledge Systems Lab	Directed Improvisation by Computer Characters	CS547 Winograd 4	1995-2-3	VHS	Box 3
Barbara Hayes Roth	Stanford Knowledge Systems Lab Extempo Systems	Characters Everywhere	CS547 Winograd 10	2001-3-16	VHS	Box 11
Bay-Wei Chang	Google	Web Search Engines: Algorithms and User Interfaces	CS547 Winograd 3	2003-04-18	VHS	Box 9
Ben Shneiderman	University of Maryland	Leonardo's Laptop: Human Needs and the new Computing	CS547 Winograd 4	2000-10-20	VHS	Box 2
Ben Shneiderman	University of Maryland	The Eyes Have It: User Interfaces for Information Visualization	CS547 Winograd 7	1998-2-20	VHS	Box 5
Bernard Gifford	UC Berkeley, Academic Systems	Computer-Mediated Instructional Materials for Distribution over Networked Computers: From Theory to Practice	CS547 Winograd 7	1997-11-7	VHS	Box 4
Betsy Bayha	World Institute on Disability	Universal Design	CS547 Winograd 10	1995-12-8	VHS	Box 3
Bill Buxton	Alias Wavefront	Less is More, More is Less	CS547 Winograd 9	1997-11-21	VHS	Box 4
Bill Moggridge	IDEO	Designing Technology	CS547 Winograd 2	2003-10-3	VHS	Box 9
Bill Tomlinson	UC Irvine	Affective Interaction Paradigms for Animated Characters	CS547 Winograd 6	2005-4-29	VHS	Box 10
BJ Fogg	Stanford CSLI	Using Computers to Change What People Think and Do: Insights into Captology	CS547 Winograd 7	2003-02-21	VHS	Box 9
BJ Fogg	Sun Microsystems, Stanford	Persuasive Computers: Examples, Perspectives and Research Directions	CS547 Winograd 6	1998-5-8	VHS	Box 2
Bob Carpenter	SpeechWorks International	Spoken User Interfaces	CS547 Winograd 2	2000-4-7	VHS	Box 8
Bob Glass	Sun Microsystems	Real World User Interface Design - A View from the Trenches	CS547 Winograd 8	1993-2-24	VHS	Box 1
Bob Horn	Stanford CSLI and Information Mapping	Visual Language: Global Communication for the 21st Century	CS547 Winograd 3	1999-10-8	VHS	Box 6
Bonnie Johnson	Interval Research	Exploring the Future in the Present	CS547 Winograd 7	1994-11-11	VHS	Box 2
Brad Johanson, Francois Guimbretiere, Terry Winograd	Stanford Computer Science	Experiments in Interaction with Wall Displays	CS547 Winograd 8	2000-11-17	VHS	Box 8
Brad Myers	Carnegie Mellon University	Mobile Devices for Control	CS547 Winograd 9	2002-11-22	VHS	Box 7
Bradley Rhodes	Ricoh Innovations	Intelligence Augmentation: Creating a Prosthetic for the Brain	CS547 Winograd 5	2002-05-03	VHS	Box 7
