sec	display	text
14.480	0:14.48	Welcome to the seminar on people
17.039	0:17.04	computers and design. Um
21.600	0:21.60	I will do a brief introduction today. We
23.119	0:23.12	started a touch late. Um I guess Will
26.480	0:26.48	Wright who's our speaker today is one of
28.960	0:28.96	these people who makes me uncomfortably
30.720	0:30.72	aware of the generation gap. And that's
34.640	0:34.64	not because of him. He's sort of in
36.640	0:36.64	between my generation the next one. But
38.719	0:38.72	because the things that he's done uh in
40.800	0:40.80	particular, he was the inventor of Sim
42.960	0:42.96	City and a whole series of innovative uh
45.600	0:45.60	programs and games since then are things
47.920	0:47.92	which I discovered as a computer science
50.800	0:50.80	professor learning about interface
52.480	0:52.48	design. And when I look out into a
54.800	0:54.80	classroom full of students nowadays,
56.640	0:56.64	they're people who discovered it the way
58.160	0:58.16	that I discovered model cars, right?
60.239	1:00.24	That is they grew up with it. uh that
63.120	1:03.12	the kind of tools and and games and
66.560	1:06.56	whatever you want to call them he's
67.600	1:07.60	producing have really been a major part
69.680	1:09.68	of life with computers, what it means to
72.560	1:12.56	be computers and use computers for the
74.400	1:14.40	generation that's just now uh appearing
76.880	1:16.88	in college. uh and my own intuition,
80.159	1:20.16	which I of course can't validate since
81.840	1:21.84	I'm in the wrong generation, but is that
84.080	1:24.08	that's going to lead over time to a real
86.960	1:26.96	shift in the way not just the people
89.200	1:29.20	think about games, but people think
90.479	1:30.48	about computers and computing in
91.840	1:31.84	general. Um, and today he's going to be
94.640	1:34.64	talking about his experience and his
96.640	1:36.64	ideas along those lines.
98.400	1:38.40	Thank you, Terry. Um,
102.799	1:42.80	yeah, I guess I'm kind of from that in
104.240	1:44.24	between generation. uh spent a lot of
106.880	1:46.88	time building models when I was a kid.
110.240	1:50.24	Way too much time building models when I
111.680	1:51.68	was a kid. Um and I really was
115.920	1:55.92	fascinated by the idea of these kind of
117.520	1:57.52	micro systems, models, micro worlds,
120.240	2:00.24	whatever. Uh you got there now and you
123.600	2:03.60	can't find models the way they used to
124.960	2:04.96	be. Used to be you could find plastic
126.240	2:06.24	models, wooden models all over the
127.600	2:07.60	place. And that's what kids did,
129.280	2:09.28	especially boys. um whereas girls would
132.560	2:12.56	play with the dolls which was a
133.760	2:13.76	different kind of modeling or a social
135.360	2:15.36	system model. Uh that whole industry
138.319	2:18.32	seems to have been displaced recently by
141.040	2:21.04	the video game industry which to me is
143.440	2:23.44	kind of sad in a way because on the
146.239	2:26.24	modeling front there was so much
147.360	2:27.36	creativity involved. You would spend so
148.959	2:28.96	much time and there were just infinite
151.200	2:31.20	levels of progression. I started out
152.560	2:32.56	with these kind of plastic models you'd
153.920	2:33.92	glue together. Then I kind of got into
155.920	2:35.92	the wooden ones, the pre-formed wooden
157.440	2:37.44	ones where you'd glue them together and
158.480	2:38.48	build these airplanes and put the paper
160.080	2:40.08	over it. And then eventually started
161.519	2:41.52	building my own just out of scratch
162.720	2:42.72	wood. And it was really interesting to
166.560	2:46.56	me because you could get such a good
167.840	2:47.84	sense of the structural definition of a
170.160	2:50.16	system with these models. So when I got
173.280	2:53.28	a computer in my early 20s, a friend of
175.280	2:55.28	mine talked me into buying one. I very
178.400	2:58.40	quickly realized how cool the computer
180.800	3:00.80	was as a modeling tool.
183.360	3:03.36	the uh computer all of a sudden allows
185.360	3:05.36	you to start modeling process in
187.599	3:07.60	addition to just structure. So uh my
191.440	3:11.44	definitions here are kind of loose and
193.120	3:13.12	freewheeling but uh like a tree the
196.400	3:16.40	structure might be the leaves and the
197.599	3:17.60	branches and whatnot. Process might be
199.519	3:19.52	combustion you know structural change in
201.519	3:21.52	the tree. So for the first time with a
204.159	3:24.16	computer I had a tool that I could start
205.599	3:25.60	modeling process with. And as a model
208.159	3:28.16	builder, I just went hog wild, taught
210.400	3:30.40	myself to program, and kind of got into
211.920	3:31.92	the games industry. Um, this is about 15
215.120	3:35.12	years ago now. I was supposed to talk
217.680	3:37.68	here today about interface design, and
219.360	3:39.36	I'm going to try to, but really I'm
222.239	3:42.24	going to touch on three major areas. I
224.159	3:44.16	think I'm going to talk on simulation
226.159	3:46.16	design, game design, and interface
229.280	3:49.28	design. Because those three to me are
232.080	3:52.08	very tightly linked. I can't just design
234.239	3:54.24	the interface after the game's done or
236.319	3:56.32	design the game in isolation from the
238.000	3:58.00	interface. Um, each one of these
240.879	4:00.88	supports the other and a lot of times
242.480	4:02.48	there'll be a game I want to do, but I
244.239	4:04.24	can't design the interface to support it
246.400	4:06.40	or the simulation underneath that it
248.720	4:08.72	needs to have. So, to me, these three
251.360	4:11.36	kind of go in this dynamic process and
253.200	4:13.20	design together. So, um, I'll be talking
256.160	4:16.16	about all three today. I'm going to be
257.280	4:17.28	showing you some of our older games kind
259.600	4:19.60	of in chronological order and going
262.000	4:22.00	through some of the issues we were
263.360	4:23.36	thinking about, why we did things the
265.199	4:25.20	way we did. Um, and then lessons learned
268.400	4:28.40	after it was out there and hundreds of
270.639	4:30.64	thousands of people were complaining
272.000	4:32.00	about it and telling us how bad a job we
