start_sec	end_sec	text
2.149	23.190	fora tv' idea immersion
6.800	23.190	[Music]
26.170	35.140	good evening I'm Stuart brand from the
28.779	37.090	long now foundation Brian Eno has been
35.140	39.699	with long now from the start he named it
37.090	41.230	the long now foundation he gave the
39.699	44.440	first talk in this series of seminars
41.230	50.019	about long-term thinking and he's a
44.440	52.000	member of the board and is known as as
50.019	54.070	well as being one of the great
52.000	59.680	contemporary musicians and composers and
54.070	61.719	artists a very very comfortable and
59.680	65.019	creative collaborator with other people
61.719	67.300	and so on sort of a trial basis tonight
65.019	71.250	we'll see what it's like to put a
67.300	71.250	creator of music with a creator of games
72.840	80.440	games with four computers are really
75.729	82.450	news that stays news first serious
80.440	86.380	computer game was space war forty-four
82.450	89.440	years ago in 1962 written by a group of
86.380	92.049	hackers at MIT who was at Steve Russell
89.440	97.409	mainly along with Alan Koh Tech Peter
92.049	97.409	Sampson and Dan Edwards ten years later
98.820	105.430	1972 this was written in rolling stone
102.509	107.140	space war was the illegitimate child of
105.430	112.329	the mating of computers and graphic
107.140	113.829	displays remember back in 62 computation
112.329	118.329	was something you sent off to the
113.829	120.520	manufacturer you sent the data away like
118.329	123.399	color film and then it came back days or
120.520	127.149	weeks later hopefully usable but not
123.399	128.649	always space war was real time there was
127.149	130.239	the illegitimate child of mating of
128.649	132.430	computers and graphic displays it was
130.239	135.010	part of no one's grand scheme it served
132.430	136.930	no grand theory it was the enthusiasm of
135.010	139.299	irresponsible youngsters it was dis
136.930	141.250	reputably competitive it was an
139.299	144.160	administrative headache it was merely
141.250	146.829	delightful yet space war if anyone cared
144.160	148.930	to notice was a flawless crystal ball of
146.829	151.390	things to come in computer science and
148.930	152.920	computer use it was intensely
151.390	155.200	interactive in real-time with the
152.920	156.510	computer in encouraged new programming
155.200	158.640	by the user
156.510	161.099	it bonded human and machine through a
158.640	163.470	responsive broadband interface of live
161.099	166.739	graphics display it served primarily as
163.470	168.870	a communication device between humans it
166.739	170.610	was a game the function best on
168.870	173.640	standalone equipment which is a big deal
170.610	175.379	in those days that served human interest
173.640	176.970	not machine a lot of the work being done
175.379	179.280	then was trying to keep the machines
176.970	180.840	interested and games didn't care if the
179.280	187.310	machines were interested or not and
180.840	187.310	mainly it was delightful I wrote that
187.750	196.160	1972 44 years later computer games still
192.740	197.120	lead the way and we'll right leads
196.160	200.680	computer games
197.120	200.680	please welcome Will Wright and Brian Eno
204.620	210.800	[Applause]
215.590	223.070	thank everybody can you hear me test
219.290	225.620	yours can you hear me thank you thank
223.070	231.820	you all very much for coming and the
225.620	233.690	format tonight is slightly undecided but
231.820	239.030	essentially we're going to talk about
233.690	240.530	games generative music and what those
239.030	242.750	things do for us and what's different
240.530	245.990	about them from things we've known in
242.750	248.840	the past and I'm actually the assistant
245.990	250.340	here this is this is really wills talk
