seq	medium_id	file	caption
1	1*C6_TEL-LHdiu7XWlkDmTLw.jpeg	001-1-c6-tel-lhdiu7xwlkdmtlw-jpeg.jpeg	Image 2
2	1*FFuzVdJGZ6W0OnIgb8Jitg.jpeg	002-1-ffuzvdjgz6w0onigb8jitg-jpeg.jpeg	Image 3
3	0*D-CfxIbKD_WXf3_L.jpg	003-0-d-cfxibkd-wxf3-l-jpg.jpeg	Image 4
4	0*t3_keqcpUWWW_oDO.jpg	004-0-t3-keqcpuwww-odo-jpg.jpeg	Image 5
5	0*8XIy4xBzrIZa4F3f.jpg	005-0-8xiy4xbzriza4f3f-jpg.jpeg	Image 6
6	0*CNhjAkIvNkX_BdaD.jpg	006-0-cnhjakivnkx-bdad-jpg.jpeg	Image 7
7	0*sP5BnvBh9xl0aAnp.jpg	007-0-sp5bnvbh9xl0aanp-jpg.jpeg	Image 8
8	1*fJoHLkZw09Y0znesKpPKSw.jpeg	008-1-fjohlkzw09y0zneskppksw-jpeg.jpeg	Image 9
9	0*nXCxxQBxSpIDF1CT.jpg	009-0-nxcxxqbxspidf1ct-jpg.jpeg	Image 10
10	0*PY_Mt2VxjGrrBHlO.jpg	010-0-py-mt2vxjgrrbhlo-jpg.jpeg	Image 11
11	0*f092Ku_l88QFCv-y.jpg	011-0-f092ku-l88qfcv-y-jpg.jpeg	Image 12
12	1*N2qEDG8R_eOf0pgpqNwJcg.jpeg	012-1-n2qedg8r-eof0pgpqnwjcg-jpeg.jpeg	Image 13
13	0*cp85hiDfXVDdoP_r.jpg	013-0-cp85hidfxvddop-r-jpg.jpeg	Image 14
14	0*vZW_LkE5gNQxcdXY.jpg	014-0-vzw-lke5gnqxcdxy-jpg.jpeg	Image 15
15	1*7-px8p8BtGSw6lOUh_lkFg.jpeg	015-1-7-px8p8btgsw6louh-lkfg-jpeg.jpeg	Image 16
16	0*3stvt4i0Otz_cEjz.jpg	016-0-3stvt4i0otz-cejz-jpg.jpeg	Image 17
17	0*C3pXcVF56sg_Odip.jpg	017-0-c3pxcvf56sg-odip-jpg.jpeg	Image 18
18	0*u1LfUgS2FpMXjpAs.jpg	018-0-u1lfugs2fpmxjpas-jpg.jpeg	Image 19
19	0*eFqZJtBZhGOOvnjC.jpg	019-0-efqzjtbzhgoovnjc-jpg.jpeg	Image 20
20	1*3EDnmb6OZ5i0YVTBND1R5Q.png	020-1-3ednmb6oz5i0yvtbnd1r5q-png.png	Image 21
