seq	para_idx	medium_id	file	caption
1	3	1*8iEHZKX_A9VcOubvlCALLg.png	001-you-can-pick-your-friends-and-you-can-pick-your-nose-but-you.png	You can pick your friends, and you can pick your nose, but you can’t pick your friend’s nose.
2	6	1*dCUMVk7sxfh17RsoeJ-94A.png	002-good-news-everyone.png	Good news, everyone!
3	12	1*_Dz9C26yHaKUB_p_PS5rdA.png	003-will-wright-and-terry-winograd-at-stanford.png	Will Wright and Terry Winograd at Stanford
4	17	1*vO5BDZbyJxNxGwJ9Or1OeA.jpeg	004-will-wright-wearing-a-monkey-motion-capture-suit.jpeg	Will Wright Wearing a Monkey Motion Capture Suit
5	19	1*sx6PmekfmU4Vj-57jW6Xog.png	005-will-wright-at-stanford.png	Will Wright at Stanford
6	23	1*s7hfRZOjvcApvGnS6TbGTQ.png	006-will-wright-s-original-home-tactics-box-prototype.png	Will Wright’s Original “Home Tactics” Box Prototype
7	25	0*AEedl1KqaAPJpvtw	007-the-seventh-sally-by-nakinagi-on-deviantart.jpeg	The Seventh Sally by nakinagi on DeviantArt
8	27	1*NYTf3X1EiOLIiMbPr1Pnuw.png	008-1-nytf3x1eioliimbpr1pnuw-png.png	
9	28	1*YqQHgoxw9H98bXqVgk65qw.png	009-cool-slides-from-will-wright-s-other-talks.png	Cool Slides from Will Wright’s Other Talks
10	30	1*f3Bov1I6csW3u-DRCOBe1g.png	010-1-f3bov1i6csw3u-drcobe1g-png.png	
11	31	1*zsD3hVMMHh5lsJZqAw8k9A.png	011-cool-slides-from-will-wright-s-other-talks.png	Cool Slides from Will Wright’s Other Talks
12	33	0*JB54vh3MiQYxLqI7.jpg	012-0-jb54vh3miqyxlqi7-jpg.jpeg	
13	34	0*DGUE7nSzQcQ0su4f.jpg	013-0-dgue7nszqcq0su4f-jpg.jpeg	
14	35	0*xVRcW8nNd6mQ45Fz.jpg	014-cool-illustrations-by-daniel-mr-z-from-stanislaw-lem-s-the-c.jpeg	Cool Illustrations by Daniel Mróz from Stanislaw Lem’s “The Cyberiad“
15	37	1*4bUwCEgJyJUnvPHSQeLtqg.jpeg	015-from-will-wright-s-antique-soviet-space-junk-collection.jpeg	From Will Wright’s Antique Soviet Space Junk Collection
16	41	1*TC6y1p-OpnUnyoVTyGZQ9w.png	016-chaim-gingold-s-simcity-reverse-diagrams-simulate.png	Chaim Gingold’s SimCity Reverse Diagrams: Simulate
17	44	1*h04VbPGVLE7o_ZaNY0Po7A.png	017-chaim-gingold-s-simcity-reverse-diagrams-map-data-flow.png	Chaim Gingold’s SimCity Reverse Diagrams: Map Data Flow
18	47	1*gLNWemNPOQjADGGF24KMQQ.png	018-chaim-gingold-s-simcity-reverse-diagrams-maps.png	Chaim Gingold’s SimCity Reverse Diagrams: Maps
19	50	1*HWiaosFOHAJYZAsmnuRdOg.png	019-chaim-gingold-s-simcity-reverse-diagrams-map-scan.png	Chaim Gingold’s SimCity Reverse Diagrams: Map Scan
20	55	1*zZrdTHabwQvFZI-jmCXIWQ.png	020-chaim-gingold-s-simcity-reverse-diagrams-make-traffic.png	Chaim Gingold’s SimCity Reverse Diagrams: Make Traffic
21	58	1*trJzuyCfsAkOslh3Rw0CfQ.png	021-will-wright-at-stanford.png	Will Wright at Stanford
22	60	0*x9NjYzmie9X4-Ow6.png	022-simrefinery-splash-screen.png	SimRefinery Splash Screen
23	64	0*eELff3PcYwmrds84.png	023-0-eelff3pcywmrds84-png.png	
24	65	0*f254YM-e54u5iRZa.jpg	024-0-f254ym-e54u5irza-jpg.jpeg	
25	66	0*1TogQ7ln_CbODs7U.png	025-cool-simrefinery-screen-snapshots.png	Cool SimRefinery Screen Snapshots
26	69	1*EF8A1YhNIpgYrIHbWJGXwQ.png	026-1-ef8a1yhnipgyrihbwjgxwq-png.png	
27	70	1*jEyFv6QQDHxuyBFRQ_rjKA.png	027-1-jeyfv6qqdhxuybfrq-rjka-png.png	
28	71	1*a07S7xIMhkJF4b7dV0Ivcw.png	028-cool-slides-from-will-wright-s-other-talks.png	Cool Slides from Will Wright’s Other Talks
29	74	0*Scu4hnmU3pIODvGM.gif	029-0-scu4hnmu3piodvgm-gif.gif	
30	75	0*7eVCDkcKCDPL3ZBb.gif	030-0-7evcdkckcdpl3zbb-gif.gif	
31	76	0*I-qFPBMzXP9ZtEsk.gif	031-multiplayer-x11-simcity-running-on-a-sun-sparcstation-ncd-x.gif	Multiplayer X11 SimCity running on a Sun SPARCStation, NCD X Terminal, and SGI Indigo
32	78	1*JVM_tDODr2GdR0Y04sX6bw.png	032-will-wright-at-stanford.png	Will Wright at Stanford
33	81	1*m_M3e07vzQa41Mz7f2YYmw.png	033-1-m-m3e07vzqa41mz7f2yymw-png.png	
34	82	1*OI7-s5heujFTtN6EbwvzmA.png	034-cool-slides-from-will-wright-s-other-talks.png	Cool Slides from Will Wright’s Other Talks
35	86	1*FKMARIwJShpMl9K_X9me6w.png	035-1-fkmariwjshpml9k-x9me6w-png.png	
36	87	1*WnlUZWNoFNvfX5S4VgcZaA.png	036-cool-slides-from-will-wright-s-other-talks.png	Cool Slides from Will Wright’s Other Talks
37	91	1*PUAZvQXfhRVUaDT0wEVJJA.png	037-1-puazvqxfhrvuadt0wevjja-png.png	
38	92	1*enrCz6xfk5mlcJ7yMGuviQ.png	038-cool-slides-from-will-wright-s-other-talks.png	Cool Slides from Will Wright’s Other Talks
39	95	1*1J01EAw-M0EThlPcooXcEQ.png	039-1-1j01eaw-m0ethlpcooxceq-png.png	
40	96	1*xkIQGbRnJQYpWWdkztntHw.png	040-cool-slides-from-will-wright-s-other-talks.png	Cool Slides from Will Wright’s Other Talks
41	101	1*D-JrfwqMucFljSWcoFpYUQ.jpeg	041-from-will-wright-s-antique-soviet-space-junk-collection.jpeg	From Will Wright’s Antique Soviet Space Junk Collection
42	104	0*7QKwnhCwbdL62wg8.gif	042-0-7qkwnhcwbdl62wg8-gif.gif	
43	105	0*E6aXlrJ-pJAi9Ehd.gif	043-0-e6axlrj-pjai9ehd-gif.gif	
44	106	0*I-DPwjzkWWlDOcPG.gif	044-simearth-simant-and-simcity-2000.gif	SimEarth, SimAnt, and SimCity 2000
45	109	1*eLl2bq9vzX8-C3jcKliVPA.png	045-simearth-splash-screen.png	SimEarth Splash Screen
46	111	1*lXKDWoQrKVz_xFkxyT3Yow.png	046-1-lxkdwoqrkvz-xfkxyt3yow-png.png	
47	112	1*FD-IeG9e-k08hHHhrK-Pbg.png	047-cool-simearth-screen-snapshots.png	Cool SimEarth Screen Snapshots
