seq	medium_id	file	caption
1	0*6jTh5sstYqzxNMZi.jpg	001-0-6jth5sstyqzxnmzi-jpg.jpeg	Image 2
2	0*QvDRySKtRcihY8S-.jpg	002-0-qvdrysktrcihy8s-jpg.jpeg	Image 3
3	0*ieba6BLGHiexKoX_.jpg	003-0-ieba6blghiexkox-jpg.jpeg	Image 4
4	0*Ue9CmAQnuypgEC9a.jpg	004-0-ue9cmaqnuypgec9a-jpg.jpeg	Image 5
5	0*D0MFYJFmlK0X9GOj.jpg	005-0-d0mfyjfmlk0x9goj-jpg.jpeg	Image 6
6	0*oHxkPACOIL6dSScu.jpg	006-0-ohxkpacoil6dsscu-jpg.jpeg	Image 7
7	0*MCJlnJl3CzSyL7Mk.jpg	007-0-mcjlnjl3czsyl7mk-jpg.jpeg	Image 8
8	0*jGreLlmZRAt2LXhf.jpg	008-0-jgrellmzrat2lxhf-jpg.jpeg	Image 9
9	0*nWNgAK8J1oNU5ltu.jpg	009-0-nwngak8j1onu5ltu-jpg.jpeg	Image 10
10	0*WuvqRtAubdtUoMYk.jpg	010-0-wuvqrtaubdtuomyk-jpg.jpeg	Image 11
